vector_id,video_id,parent_namespace,video_namespace,frame_id,frame_path,timestamp_s,timestamp_source,artifact_base,embedding_file,metadata_file
0,L21_V001,L21_a,L21_V001,000000,L21_a/L21_V001/000000.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
1,L21_V001,L21_a,L21_V001,000008,L21_a/L21_V001/000008.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
2,L21_V001,L21_a,L21_V001,000017,L21_a/L21_V001/000017.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
3,L21_V001,L21_a,L21_V001,000044,L21_a/L21_V001/000044.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
4,L21_V001,L21_a,L21_V001,000053,L21_a/L21_V001/000053.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
5,L21_V001,L21_a,L21_V001,000054,L21_a/L21_V001/000054.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
6,L21_V001,L21_a,L21_V001,000102,L21_a/L21_V001/000102.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
7,L21_V001,L21_a,L21_V001,000343,L21_a/L21_V001/000343.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
8,L21_V001,L21_a,L21_V001,000354,L21_a/L21_V001/000354.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
9,L21_V001,L21_a,L21_V001,000365,L21_a/L21_V001/000365.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
10,L21_V001,L21_a,L21_V001,000376,L21_a/L21_V001/000376.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
11,L21_V001,L21_a,L21_V001,000387,L21_a/L21_V001/000387.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
12,L21_V001,L21_a,L21_V001,000398,L21_a/L21_V001/000398.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
13,L21_V001,L21_a,L21_V001,000410,L21_a/L21_V001/000410.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
14,L21_V001,L21_a,L21_V001,000411,L21_a/L21_V001/000411.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
15,L21_V001,L21_a,L21_V001,000418,L21_a/L21_V001/000418.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
16,L21_V001,L21_a,L21_V001,000458,L21_a/L21_V001/000458.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
17,L21_V001,L21_a,L21_V001,000510,L21_a/L21_V001/000510.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
18,L21_V001,L21_a,L21_V001,000564,L21_a/L21_V001/000564.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
19,L21_V001,L21_a,L21_V001,000565,L21_a/L21_V001/000565.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
20,L21_V001,L21_a,L21_V001,000572,L21_a/L21_V001/000572.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
21,L21_V001,L21_a,L21_V001,000612,L21_a/L21_V001/000612.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
22,L21_V001,L21_a,L21_V001,000652,L21_a/L21_V001/000652.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
23,L21_V001,L21_a,L21_V001,000661,L21_a/L21_V001/000661.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
24,L21_V001,L21_a,L21_V001,000711,L21_a/L21_V001/000711.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
25,L21_V001,L21_a,L21_V001,000721,L21_a/L21_V001/000721.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
26,L21_V001,L21_a,L21_V001,000722,L21_a/L21_V001/000722.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
27,L21_V001,L21_a,L21_V001,000762,L21_a/L21_V001/000762.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
28,L21_V001,L21_a,L21_V001,000857,L21_a/L21_V001/000857.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
29,L21_V001,L21_a,L21_V001,000867,L21_a/L21_V001/000867.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
30,L21_V001,L21_a,L21_V001,000878,L21_a/L21_V001/000878.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
31,L21_V001,L21_a,L21_V001,000888,L21_a/L21_V001/000888.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
32,L21_V001,L21_a,L21_V001,000921,L21_a/L21_V001/000921.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
33,L21_V001,L21_a,L21_V001,001403,L21_a/L21_V001/001403.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
34,L21_V001,L21_a,L21_V001,001887,L21_a/L21_V001/001887.webp,,,L21_a_L21_V001,L21_a_L21_V001_embeddings.npy,L21_a_L21_V001_metadata.npy
