query,rank,score,vector_id,video_id,parent_namespace,frame_id,frame_path,timestamp_s,search_ms
a person riding a motorcycle on a street,1,0.6744410991668701,248085,L28_V001,L28_a,011880,L28_a/L28_V001/011880.webp,,134.52737500000467
a person riding a motorcycle on a street,2,0.6730079650878906,252269,L28_V007,L28_a,022320,L28_a/L28_V007/022320.webp,,134.52737500000467
a person riding a motorcycle on a street,3,0.6708603501319885,254708,L28_V011,L28_a,026699,L28_a/L28_V011/026699.webp,,134.52737500000467
a person riding a motorcycle on a street,4,0.670006513595581,280513,L30_V044,L30_a,000593,L30_a/L30_V044/000593.webp,,134.52737500000467
a person riding a motorcycle on a street,5,0.6664537191390991,47916,L23_V025,L23_a,019165,L23_a/L23_V025/019165.webp,,134.52737500000467
a person riding a motorcycle on a street,6,0.6662073135375977,254985,L28_V012,L28_a,012266,L28_a/L28_V012/012266.webp,,134.52737500000467
a person riding a motorcycle on a street,7,0.6657212376594543,26582,L22_V008,L22_a,026658,L22_a/L22_V008/026658.webp,,134.52737500000467
a person riding a motorcycle on a street,8,0.6650039553642273,248084,L28_V001,L28_a,011866,L28_a/L28_V001/011866.webp,,134.52737500000467
a person riding a motorcycle on a street,9,0.6647298336029053,254707,L28_V011,L28_a,026686,L28_a/L28_V011/026686.webp,,134.52737500000467
a person riding a motorcycle on a street,10,0.664429783821106,254986,L28_V012,L28_a,012311,L28_a/L28_V012/012311.webp,,134.52737500000467
a person riding a motorcycle on a street,11,0.6643178462982178,285889,L30_V091,L30_a,003998,L30_a/L30_V091/003998.webp,,134.52737500000467
a person riding a motorcycle on a street,12,0.6632784605026245,249084,L28_V002,L28_a,024383,L28_a/L28_V002/024383.webp,,134.52737500000467
a person riding a motorcycle on a street,13,0.6631911993026733,254679,L28_V011,L28_a,025462,L28_a/L28_V011/025462.webp,,134.52737500000467
a person riding a motorcycle on a street,14,0.6631094813346863,47917,L23_V025,L23_a,019175,L23_a/L23_V025/019175.webp,,134.52737500000467
